LIST_ENTRPS,LIST_REGION,HIGH_VOLTAGE
한국지엠,강원특별자치도,1
한국지엠,서울특별시,0
한국지엠,서울특별시,1
한국지엠,경상남도,1
한국지엠,경상북도,0
한국지엠,경상남도,0
한국지엠,충청남도,0
한국지엠,서울특별시,0
한국지엠,경기도,0
한국지엠,경상북도,1
한국지엠,전북특별자치도,1
한국지엠,전라남도,0
한국지엠,경상남도,0
한국지엠,서울특별시,0
한국지엠,경기도,0
한국지엠,경기도,0
한국지엠,경상남도,1
한국지엠,전북특별자치도,0
한국지엠,경상북도,0
한국지엠,대구광역시,1
한국지엠,인천광역시,1
한국지엠,전라남도,0
한국지엠,경기도,1
한국지엠,충청남도,1
한국지엠,충청남도,0
한국지엠,대구광역시,0
한국지엠,대전광역시,0
한국지엠,광주광역시,1
한국지엠,경기도,1
한국지엠,강원특별자치도,0
한국지엠,경상남도,0
한국지엠,경기도,0
한국지엠,전라남도,0
한국지엠,경상남도,0
한국지엠,경기도,0
한국지엠,경기도,0
한국지엠,충청남도,0
한국지엠,경기도,0
한국지엠,충청남도,0
한국지엠,경기도,0
한국지엠,인천광역시,0
한국지엠,대구광역시,0
한국지엠,경기도,1
한국지엠,경상북도,0
한국지엠,경기도,1
한국지엠,부산광역시,1
한국지엠,강원특별자치도,0
한국지엠,광주광역시,1
한국지엠,대전광역시,0
한국지엠,제주특별자치도,1
한국지엠,대구광역시,1
한국지엠,대전광역시,0
한국지엠,충청남도,1
한국지엠,인천광역시,1
한국지엠,경기도,0
한국지엠,대구광역시,0
한국지엠,경기도,1
한국지엠,전라남도,1
한국지엠,경기도,0
한국지엠,경기도,1
한국지엠,제주특별자치도,0
한국지엠,대전광역시,0
한국지엠,충청남도,1
한국지엠,경기도,1
한국지엠,경상남도,1
한국지엠,서울특별시,0
한국지엠,경기도,0
한국지엠,울산광역시,0
한국지엠,전라남도,1
한국지엠,제주특별자치도,0
한국지엠,부산광역시,0
한국지엠,경기도,0
한국지엠,경기도,0
한국지엠,울산광역시,0
한국지엠,울산광역시,1
한국지엠,울산광역시,0
한국지엠,서울특별시,0
한국지엠,경기도,1
한국지엠,경기도,0
한국지엠,경기도,1
한국지엠,전북특별자치도,1
한국지엠,경기도,1
한국지엠,경상남도,0
한국지엠,서울특별시,0
한국지엠,서울특별시,0
한국지엠,전북특별자치도,0
한국지엠,제주특별자치도,0
한국지엠,제주특별자치도,0
한국지엠,제주특별자치도,1
한국지엠,충청북도,0
한국지엠,광주광역시,1
한국지엠,대전광역시,1
한국지엠,부산광역시,1
한국지엠,서울특별시,1
한국지엠,강원특별자치도,1
한국지엠,인천광역시,1
한국지엠,전북특별자치도,1
한국지엠,경상남도,1
한국지엠,경상남도,0
한국지엠,경상남도,0
한국지엠,충청남도,1
한국지엠,인천광역시,0
한국지엠,충청북도,1
한국지엠,강원특별자치도,0
한국지엠,충청북도,0
한국지엠,충청북도,0
한국지엠,경기도,0
한국지엠,경기도,1
한국지엠,경기도,1
한국지엠,경기도,0
한국지엠,경기도,1
한국지엠,경상북도,1
한국지엠,전라남도,0
한국지엠,부산광역시,0
한국지엠,충청남도,1
한국지엠,강원특별자치도,0
