,LIST_ENTRPS,LIST_REGION,LIST_REPAIR_RANGE,high_voltage
0,"볼보, 폴스타(동일)",서울특별시,모든 수리(고전압 베터리 수리 포함),1
1,"볼보, 폴스타(동일)",서울특별시,모든 수리(고전압 베터리 수리 포함),1
2,"볼보, 폴스타(동일)",부산광역시,모든 수리(고전압 베터리 수리 포함),1
3,"볼보, 폴스타(동일)",광주광역시,모든 수리(고전압 베터리 수리 포함),1
4,"볼보, 폴스타(동일)",경기도,모든 수리(고전압 베터리 수리 포함),1
5,"볼보, 폴스타(동일)",경상남도,모든 수리(고전압 베터리 수리 포함),1
6,"볼보, 폴스타(동일)",대구광역시,모든 수리(고전압 베터리 수리 포함),1
7,"볼보, 폴스타(동일)",대전광역시,모든 수리(고전압 베터리 수리 포함),1
8,"볼보, 폴스타(동일)",서울특별시,모든 수리(고전압 베터리 수리 포함),1
9,"볼보, 폴스타(동일)",경기도,모든 수리(고전압 베터리 수리 포함),1
10,"볼보, 폴스타(동일)",경기도,모든 수리(고전압 베터리 수리 포함),1
11,"볼보, 폴스타(동일)",경기도,모든 수리(고전압 베터리 수리 포함),1
12,"볼보, 폴스타(동일)",대구광역시,모든 수리(고전압 베터리 수리 포함),1
13,"볼보, 폴스타(동일)",서울특별시,모든 수리(고전압 베터리 수리 포함),1
14,"볼보, 폴스타(동일)",서울특별시,모든 수리(고전압 베터리 수리 포함),1
15,"볼보, 폴스타(동일)",서울특별시,모든 수리(고전압 베터리 수리 포함),1
16,"볼보, 폴스타(동일)",경기도,모든 수리(고전압 베터리 수리 포함),1
17,"볼보, 폴스타(동일)",전라남도,모든 수리(고전압 베터리 수리 포함),1
18,"볼보, 폴스타(동일)",경기도,모든 수리(고전압 베터리 수리 포함),1
19,"볼보, 폴스타(동일)",서울특별시,모든 수리(고전압 베터리 수리 포함),1
20,"볼보, 폴스타(동일)",서울특별시,모든 수리(고전압 베터리 수리 포함),1
21,"볼보, 폴스타(동일)",울산광역시,모든 수리(고전압 베터리 수리 포함),1
22,"볼보, 폴스타(동일)",강원특별자치도,모든 수리(고전압 베터리 수리 포함),1
23,"볼보, 폴스타(동일)",경기도,모든 수리(고전압 베터리 수리 포함),1
24,"볼보, 폴스타(동일)",인천광역시,모든 수리(고전압 베터리 수리 포함),1
25,"볼보, 폴스타(동일)",경기도,모든 수리(고전압 베터리 수리 포함),1
26,"볼보, 폴스타(동일)",전라북도,모든 수리(고전압 베터리 수리 포함),1
27,"볼보, 폴스타(동일)",제주특별자치도,모든 수리(고전압 베터리 수리 포함),1
28,"볼보, 폴스타(동일)",경상남도,모든 수리(고전압 베터리 수리 포함),1
29,"볼보, 폴스타(동일)",충청남도,모든 수리(고전압 베터리 수리 포함),1
30,"볼보, 폴스타(동일)",경상북도,모든 수리(고전압 베터리 수리 포함),1
31,"볼보, 폴스타(동일)",부산광역시,모든 수리(고전압 베터리 수리 포함),1
