,LIST_ENTRPS,LIST_REGION,LIST_REPAIR_RANGE,high_voltage
0,현대,전북특별자치도,고전압배터리 제외 전 작업 수리 가능,1
1,현대,전라남도,고전압배터리 제외 전 작업 수리 가능,1
2,현대,전북특별자치도,고전압배터리 제외 전 작업 수리 가능,1
3,현대,강원특별자치도,고전압배터리 제외 전 작업 수리 가능,1
4,현대,대전광역시,모든수리,0
5,현대,경기도,모든수리,0
6,현대,인천광역시,고전압배터리 제외 전 작업 수리 가능,1
7,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
8,현대,인천광역시,고전압배터리 제외 전 작업 수리 가능,1
9,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
10,현대,서울특별시,고전압배터리 제외 전 작업 수리 가능,1
11,현대,전라남도,고전압배터리 제외 전 작업 수리 가능,1
12,현대,경상북도,고전압배터리 제외 전 작업 수리 가능,1
13,현대,서울특별시,고전압배터리 제외 전 작업 수리 가능,1
14,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
15,현대,충청남도,고전압배터리 제외 전 작업 수리 가능,1
16,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
17,현대,인천광역시,고전압배터리 제외 전 작업 수리 가능,1
18,현대,충청남도,모든수리,0
19,현대,인천광역시,모든수리,0
20,현대,경상남도,고전압배터리 제외 전 작업 수리 가능,1
21,현대,인천광역시,고전압배터리 제외 전 작업 수리 가능,1
22,현대,인천광역시,모든수리,0
23,현대,대구광역시,모든수리,0
24,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
25,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
26,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
27,현대,경상북도,고전압배터리 제외 전 작업 수리 가능,1
28,현대,경상북도,모든수리,0
29,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
30,현대,충청남도,고전압배터리 제외 전 작업 수리 가능,1
31,현대,서울특별시,고전압배터리 제외 전 작업 수리 가능,1
32,현대,충청남도,고전압배터리 제외 전 작업 수리 가능,1
33,현대,인천광역시,모든수리,0
34,현대,인천광역시,고전압배터리 제외 전 작업 수리 가능,1
35,현대,경상남도,고전압배터리 제외 전 작업 수리 가능,1
36,현대,서울특별시,고전압배터리 제외 전 작업 수리 가능,1
37,현대,부산광역시,고전압배터리 제외 전 작업 수리 가능,1
38,현대,충청남도,고전압배터리 제외 전 작업 수리 가능,1
39,현대,제주특별자치도,고전압배터리 제외 전 작업 수리 가능,1
40,현대,인천광역시,고전압배터리 제외 전 작업 수리 가능,1
41,현대,경상북도,고전압배터리 제외 전 작업 수리 가능,1
42,현대,경기도,고전압배터리 제외 전 작업 수리 가능,1
43,현대,대전광역시,고전압배터리 제외 전 작업 수리 가능,1
44,현대,서울특별시,고전압배터리 제외 전 작업 수리 가능,1
45,현대,인천광역시,모든수리,0
